threshold,sensitivity,specificity,precision,f1,bal_accuracy,youden
0.2,0.9855072463768116,0.9952702702702703,0.9798270893371758,0.9826589595375723,0.9903887583235409,0.9807775166470818
0.21000000000000002,0.9855072463768116,0.9952702702702703,0.9798270893371758,0.9826589595375723,0.9903887583235409,0.9807775166470818
0.22,0.9855072463768116,0.9952702702702703,0.9798270893371758,0.9826589595375723,0.9903887583235409,0.9807775166470818
0.23,0.9855072463768116,0.995945945945946,0.9826589595375722,0.9840810419681622,0.9907265961613788,0.9814531923227576
0.24000000000000002,0.9797101449275363,0.9966216216216216,0.9854227405247813,0.9825581395348838,0.988165883274579,0.976331766549158
0.25,0.9797101449275363,0.9966216216216216,0.9854227405247813,0.9825581395348838,0.988165883274579,0.976331766549158
0.26,0.9797101449275363,0.9966216216216216,0.9854227405247813,0.9825581395348838,0.988165883274579,0.976331766549158
0.27,0.9768115942028985,0.9966216216216216,0.9853801169590644,0.9810771470160117,0.98671660791226,0.97343321582452
0.28,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.29000000000000004,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.3,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.31,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.32,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.33,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.34,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.35000000000000003,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.36000000000000004,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.37,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.38,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.39,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.4,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.41000000000000003,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.42000000000000004,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.43,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.44,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.45,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.46,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.47000000000000003,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.48000000000000004,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.49,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.5,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.51,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.52,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
0.53,0.9739130434782609,0.9966216216216216,0.9853372434017595,0.9795918367346939,0.9852673325499413,0.9705346650998825
